,model_name,corpus,seed,suite,correct,tag,circuit,correct_delta,has_modifier,test_ppl
100,jrnn,,0,fgd_subject,0.7083333333333334,fgd,Long-Distance Dependencies,,,
101,jrnn,,0,mvrr,0.7142857142857143,mvrr,Garden-Path Effects,,False,
102,jrnn,,0,mvrr_mod,0.6785714285714286,mvrr,Garden-Path Effects,,True,
103,jrnn,,0,npi_orc_any,0.8157894736842105,npi,Licensing,,,
104,jrnn,,0,npi_orc_ever,0.0,npi,Licensing,,,
105,jrnn,,0,npi_src_any,0.7894736842105263,npi,Licensing,,,
106,jrnn,,0,npi_src_ever,0.2894736842105263,npi,Licensing,,,
107,jrnn,,0,npz_ambig,0.8333333333333334,npz,Garden-Path Effects,,False,
108,jrnn,,0,npz_ambig_mod,0.7916666666666666,npz,Garden-Path Effects,,True,
109,jrnn,,0,npz_obj,1.0,npz,Garden-Path Effects,,False,
110,jrnn,,0,npz_obj_mod,0.9583333333333334,npz,Garden-Path Effects,,True,
111,jrnn,,0,number_orc,0.10526315789473684,number,Agreement,,,
112,jrnn,,0,number_prep,0.6842105263157895,number,Agreement,,,
113,jrnn,,0,number_src,0.7368421052631579,number,Agreement,,,
114,jrnn,,0,reflexive_orc_fem,0.0,reflexive,Licensing,,,
115,jrnn,,0,reflexive_orc_masc,0.10526315789473684,reflexive,Licensing,,,
116,jrnn,,0,reflexive_prep_fem,0.0,reflexive,Licensing,,,
117,jrnn,,0,reflexive_prep_masc,0.2631578947368421,reflexive,Licensing,,,
118,jrnn,,0,reflexive_src_fem,0.0,reflexive,Licensing,,,
119,jrnn,,0,reflexive_src_masc,0.2631578947368421,reflexive,Licensing,,,
120,jrnn,,0,subordination,0.391304347826087,subordination,Gross Syntactic State,,,
121,jrnn,,0,subordination_orc-orc,0.4782608695652174,subordination,Gross Syntactic State,,,
122,jrnn,,0,subordination_pp-pp,0.5217391304347826,subordination,Gross Syntactic State,,,
123,jrnn,,0,subordination_src-src,0.5217391304347826,subordination,Gross Syntactic State,,,
